,index,specnum,c0_name,c0_start,c0_stop,c1_name,c1_start,c1_stop
0,0,cl059a3-0,C2,555,580,C1,500,550
1,16,cl061a2-1,C2,555,580,C1,500,550
2,33,cl063b3-2,C2,555,580,C1,500,550
3,50,cl065b4-3,C2,555,580,C1,500,550
4,68,cl066a4-4,C2,555,580,C1,500,550
5,87,cl067a3-5,C2,555,580,C1,500,550
6,103,cl071a1-6,C2,555,580,C1,500,550
7,119,cl073a5-7,C2,555,580,C1,500,550
8,136,cl075a3-8,C2,555,580,C1,500,550
9,155,cl077b3-9,C2,555,580,C1,500,550
10,172,cl079a3-10,C2,555,580,C1,500,550
11,190,cl081a2-11,C2,555,580,C1,500,550
12,207,cl083a2-12,C2,555,580,C1,500,550
13,225,cl085a3-13,C2,555,580,C1,500,550
14,243,cl087a2-14,C2,555,580,C1,500,550
15,261,cl089b2-15,C2,555,580,C1,500,550
16,282,cl091a2-16,C2,555,580,C1,500,550
17,301,cl093a5-17,C2,555,580,C1,500,550
18,319,cl099a5-18,C2,555,580,C1,500,550
19,343,cl101a3-19,C2,555,580,C1,500,550
20,359,cl103a4-20,C2,555,580,C1,500,550
21,380,cl105a1-21,C2,555,580,C1,500,550
22,399,cl107a2-22,C2,555,580,C1,500,550
23,417,cl108a4-23,C2,555,580,C1,500,550
24,433,cl111a2-24,C2,555,580,C1,500,550
25,449,cl113a2-25,C2,555,580,C1,500,550
26,466,cl115a3-26,C2,555,580,C1,500,550
27,482,cl117a4-27,C2,555,580,C1,500,550
28,500,cl119b2-28,C2,555,580,C1,500,550
29,516,cl121a4-29,C2,555,580,C1,500,550
30,534,cl123a3-30,C2,555,580,C1,500,550
31,552,cl125a3-31,C2,555,580,C1,500,550
32,570,cl127a2-32,C2,555,580,C1,500,550
33,590,cl131a2-33,C2,555,580,C1,500,550
34,612,cl133a2-34,C2,555,580,C1,500,550
35,630,cl135a3-35,C2,555,580,C1,500,550
36,649,cl136b2-36,C2,555,580,C1,500,550
37,665,cl137a2-37,C2,555,580,C1,500,550
38,684,cl141b3-38,C2,555,580,C1,500,550
39,704,cl142b2-39,C2,555,580,C1,500,550
40,728,cl145a5-40,C2,555,580,C1,500,550
41,746,pp001c1-41,C2,555,580,C1,500,550
42,767,pp004a2-42,C2,555,580,C1,500,550
43,783,pp005a2-43,C2,555,580,C1,500,550
44,799,pp007a3-44,C2,555,580,C1,500,550
45,815,pp008b4-45,C2,555,580,C1,500,550
46,831,pp009a2-46,C2,555,580,C1,500,550
47,849,pp013a2-47,C2,555,580,C1,500,550
48,867,pp023d2-48,C2,555,580,C1,500,550
49,883,pp025b2-49,C2,555,580,C1,500,550
50,904,pp027b2-50,C2,555,580,C1,500,550
51,926,pp029a2-51,C2,555,580,C1,500,550
52,948,pp031b2-52,C2,555,580,C1,500,550
53,964,pp033a2-53,C2,555,580,C1,500,550
54,983,pp035a2-54,C2,555,580,C1,500,550
55,1003,pp037b4-55,C2,555,580,C1,500,550
56,1020,pp038b4-56,C2,555,580,C1,500,550
57,1040,pp041a3-57,C2,555,580,C1,500,550
58,1059,pp043a3-58,C2,555,580,C1,500,550
59,1077,pp045b2-59,C2,555,580,C1,500,550
60,1093,pp047a2-60,C2,555,580,C1,500,550
61,1111,pp048a3-61,C2,555,580,C1,500,550
62,1128,pp049c1-62,C2,555,580,C1,500,550
63,1145,pp053b1-63,C2,555,580,C1,500,550
64,1164,pp054b3-64,C2,555,580,C1,500,550
65,1182,pp055e3-65,C2,555,580,C1,500,550
66,1197,pp056a1-66,C2,555,580,C1,500,550
67,1215,pp058a1-67,C2,555,580,C1,500,550
68,1233,pp060a2-68,C2,555,580,C1,500,550
69,1250,pp062a1-69,C2,555,580,C1,500,550
70,1267,pp064a2-70,C2,555,580,C1,500,550
71,1286,pp067c1-71,C2,555,580,C1,500,550
72,1304,pp068a2-72,C2,555,580,C1,500,550
73,1322,pp070b1-73,C2,555,580,C1,500,550
74,1341,pp072a2-74,C2,555,580,C1,500,550
75,1357,pp074d4-75,C2,555,580,C1,500,550
76,1375,pp076b2-76,C2,555,580,C1,500,550
77,1394,pp078a3-77,C2,555,580,C1,500,550
78,1414,pp082a1-78,C2,555,580,C1,500,550
79,1433,pp091a1-79,C2,555,580,C1,500,550
80,1452,pp100b3-80,C2,555,580,C1,500,550
81,1470,pp102b2-81,C2,555,580,C1,500,550
82,1488,pp110a1-82,C2,555,580,C1,500,550
83,1505,pp114a1-83,C2,555,580,C1,500,550
84,1524,pp116a4-84,C2,555,580,C1,500,550
85,1544,pp120d1-85,C2,555,580,C1,500,550
86,1561,pp126a1-86,C2,555,580,C1,500,550
