tab 	locations
age	age_sigma	age_unit	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_sites	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	result_type	sites
180	5	Ma	Mafika		334.8	-60.7		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-1	Outcrop	29.33	27.82	i	M-1
180	5	Ma	Mafika	2.103427508177824	335.24332231954594	-60.952676239242415	14099.637456307342	2	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-10	Outcrop	29.33	27.82	a	M-35:M-33
180	5	Ma	Mafika		334.6	-62.9		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-11	Outcrop	29.33	27.82	i	M-37
180	5	Ma	Mafika		339.6	-58.4		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-12	Outcrop	29.33	27.82	i	M-39
180	5	Ma	Mafika		11.1	-45.8		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-13	Outcrop	29.33	27.82	i	M-41
180	5	Ma	Mafika		357.7	-54.8		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-14	Outcrop	29.33	27.82	i	M-43
180	5	Ma	Mafika		353.3	-58.3		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-15	Outcrop	29.33	27.82	i	M-45
180	5	Ma	Mafika		348.3	-52.2		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-16	Outcrop	29.33	27.82	i	M-47
180	5	Ma	Mafika	2.379878536229782	333.6045741848395	-52.65269351726527	11014.668669969755	2	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-17	Outcrop	29.33	27.82	a	M-51:M-49
180	5	Ma	Mafika		348.9	-63.7		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-18	Outcrop	29.33	27.82	i	M-53
180	5	Ma	Mafika		344.0	-65.8		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-19	Outcrop	29.33	27.82	i	M-55
180	5	Ma	Mafika	1.1749015020538673	338.7431833216493	-52.78929860226051	4242.618844522613	5	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-2	Outcrop	29.33	27.82	a	M-13:M-11:M-9:M-7:M-3
180	5	Ma	Mafika	3.9932433196153747	344.06598402828047	-53.00554610255694	3913.6195966973546	2	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-20	Outcrop	29.33	27.82	a	M-61:M-59
180	5	Ma	Mafika	5.955498600584501	347.29192972996356	-59.727714568114806	1760.6661416354111	2	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-21	Outcrop	29.33	27.82	a	M-66:M-64
180	5	Ma	Mafika		0.3	-70.2		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-22	Outcrop	29.33	27.82	i	M-67
180	5	Ma	Mafika		352.7	-65.9		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-23	Outcrop	29.33	27.82	i	M-69
180	5	Ma	Mafika	1.1004270714470872	333.51980544268406	-53.82175377506207	4836.180283730271	5	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-24	Outcrop	29.33	27.82	a	M-84:M-82:M-80:M-76:M-71
180	5	Ma	Mafika		336.0	-49.9		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-25	Outcrop	29.33	27.82	i	M-86
180	5	Ma	Mafika	0.6380609848039035	335.200846895346	-54.351641652567196	20737.14481746105	4	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-26	Outcrop	29.33	27.82	a	M-93:M-91:M-89:M-88
180	5	Ma	Mafika		337.1	-58.3		1	Igneous:Extrusive	-29.07	-30.76	Basalt	GM-27	Outcrop	29.33	27.82	i	M-95
