tab 	sites
age	age_sigma	age_unit	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	geologic_classes	lat_n	lat_s	level_1	lithologies	location	lon_e	lon_w	result_type	samples	site	site_type	time
180	5	Ma	1.4	334.8	-60.7	2865.0	1.0	Igneous:Extrusive	-29.07	-29.07	46.0	Basalt	Mafika	28.38	28.38	i	M-1	GM-1	Outcrop	0.0
180	5	Ma	9.92370893874488	335.2537243786974	-60.958359487215404	636.4459996454468	2.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-35:M-33	GM-10	Outcrop	5.624892400000135
180	5	Ma	3.7	334.6	-62.9	432.0	1.0	Igneous:Extrusive	-29.07	-29.07	28.0	Basalt	Mafika	28.38	28.38	i	M-37	GM-11	Outcrop	0.0
180	5	Ma	5.4	339.6	-58.4	288.0	1.0	Igneous:Extrusive	-29.07	-29.07	27.0	Basalt	Mafika	28.38	28.38	i	M-39	GM-12	Outcrop	0.0
180	5	Ma	1.3	11.1	-45.8	3322.0	1.0	Igneous:Extrusive	-29.07	-29.07	26.0	Basalt	Mafika	28.38	28.38	i	M-41	GM-13	Outcrop	0.0
180	5	Ma	4.1	357.7	-54.8	155.0	1.0	Igneous:Extrusive	-29.07	-29.07	25.0	Basalt	Mafika	28.38	28.38	i	M-43	GM-14	Outcrop	0.0
180	5	Ma	2.0	353.3	-58.3	1491.0	1.0	Igneous:Extrusive	-29.07	-29.07	24.0	Basalt	Mafika	28.38	28.38	i	M-45	GM-15	Outcrop	0.0
180	5	Ma	2.2	348.3	-52.2	1235.0	1.0	Igneous:Extrusive	-29.07	-29.07	23.0	Basalt	Mafika	28.38	28.38	i	M-47	GM-16	Outcrop	0.0
180	5	Ma	7.0796726720247705	333.58599209287837	-52.633881856213144	1247.520377636154	2.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-51:M-49	GM-17	Outcrop	3.701316200000292
180	5	Ma	2.0	348.9	-63.7	1433.0	1.0	Igneous:Extrusive	-29.07	-29.07	20.0	Basalt	Mafika	28.38	28.38	i	M-53	GM-18	Outcrop	0.0
180	5	Ma	1.7	344.0	-65.8	1933.0	1.0	Igneous:Extrusive	-29.07	-29.07	19.0	Basalt	Mafika	28.38	28.38	i	M-55	GM-19	Outcrop	0.0
180	5	Ma	2.9049612677896905	338.71759741918675	-52.797566760373705	695.1883177513023	5.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-13:M-11:M-9:M-7:M-3	GM-2	Outcrop	6.458588500000587
180	5	Ma	5.278593424229668	344.08174898823484	-52.98672117756795	2241.611541379498	2.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-61:M-59	GM-20	Outcrop	3.335712799999783
180	5	Ma	10.359105378898347	347.1693035726554	-59.78388114753971	584.3244118063075	2.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-66:M-64	GM-21	Outcrop	4.0160479999995005
180	5	Ma	0.8	0.3	-70.2	9862.0	1.0	Igneous:Extrusive	-29.07	-29.07	14.0	Basalt	Mafika	28.38	28.38	i	M-67	GM-22	Outcrop	0.0
180	5	Ma	3.2	352.7	-65.9	805.0	1.0	Igneous:Extrusive	-29.07	-29.07	13.0	Basalt	Mafika	28.38	28.38	i	M-69	GM-23	Outcrop	0.0
180	5	Ma	1.5764894250533565	333.5390693697011	-53.8332000675008	2357.253200628499	5.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-84:M-82:M-80:M-76:M-71	GM-24	Outcrop	6.608663699999852
180	5	Ma	1.3	336.0	-49.9	3303.0	1.0	Igneous:Extrusive	-29.07	-29.07	7.0	Basalt	Mafika	28.38	28.38	i	M-86	GM-25	Outcrop	0.0
180	5	Ma	1.9517627828917608	335.22574396345186	-54.35206120137276	2217.613944478935	4.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-93:M-91:M-89:M-88	GM-26	Outcrop	5.275224399999388
180	5	Ma	2.9	337.1	-58.3	1028.0	1.0	Igneous:Extrusive	-29.07	-29.07	2.0	Basalt	Mafika	28.38	28.38	i	M-95	GM-27	Outcrop	0.0
180	5	Ma	5.186494717289941	328.27986324094684	-75.39026407168795	2321.8182802204433	2.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-101:M-100	GM-28	Outcrop	3.67639489999965
180	5	Ma	5.76792400956523	342.7431497062877	-48.48064427105006	458.5356969627884	3.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-18:M-17:M-15	GM-3	Outcrop	5.595594399999754
180	5	Ma	1.2	325.6	-50.0	3899.0	1.0	Igneous:Extrusive	-29.07	-29.07	37.0	Basalt	Mafika	28.38	28.38	i	M-21	GM-4	Outcrop	0.0
180	5	Ma	2.7	330.9	-51.9	787.0	1.0	Igneous:Extrusive	-29.07	-29.07	36.0	Basalt	Mafika	28.38	28.38	i	M-22	GM-5	Outcrop	0.0
180	5	Ma	2.2	331.7	-35.3	1254.0	1.0	Igneous:Extrusive	-29.07	-29.07	35.0	Basalt	Mafika	28.38	28.38	i	M-24	GM-6	Outcrop	0.0
180	5	Ma	12.078983393255792	330.57416752239635	-38.063850520490874	430.5888054527194	2.0	Igneous:Extrusive	-29.07	-29.07	0.0	Basalt	Mafika	28.38	28.38	a	M-27:M-26	GM-7	Outcrop	4.5174065000001065
180	5	Ma	2.6	333.5	-36.2	1229.0	1.0	Igneous:Extrusive	-29.07	-29.07	32.0	Basalt	Mafika	28.38	28.38	i	M-29	GM-8	Outcrop	0.0
180	5	Ma	3.0	334.3	-40.3	636.0	1.0	Igneous:Extrusive	-29.07	-29.07	31.0	Basalt	Mafika	28.38	28.38	i	M-30	GM-9	Outcrop	0.0
