tab 	locations
age_high	age_low	age_sigma	age_unit	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_sites	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	result_type	sites
184.8	179.2	2.6	Ma	Naude's Nek Section		-9.7	-44.7		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	10	Outcrop	28.089	28.0006	i	ND54
184.8	179.2	2.6	Ma	Naude's Nek Section		39.5	-56.1		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	12	Outcrop	28.089	28.0006	i	ND49
184.8	179.2	2.6	Ma	Naude's Nek Section		24.1	-49.3		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	14	Outcrop	28.089	28.0006	i	NNPR
184.8	179.2	2.6	Ma	Naude's Nek Section		-5.2	-66.4		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	18	Outcrop	28.089	28.0006	i	NN35C
184.8	179.2	2.6	Ma	Naude's Nek Section		8.9	-51.1		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	19	Outcrop	28.089	28.0006	i	NN35B
184.8	179.2	2.6	Ma	Naude's Nek Section		-16.5	-54.3		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	20	Outcrop	28.089	28.0006	i	NN35A
184.8	179.2	2.6	Ma	Naude's Nek Section		7.4	-59.2		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	21	Outcrop	28.089	28.0006	i	NN34
184.8	179.2	2.6	Ma	Naude's Nek Section		-18.9	-58.2		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	22	Outcrop	28.089	28.0006	i	NN33
184.8	179.2	2.6	Ma	Naude's Nek Section		-1.3	-55.2		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	26	Outcrop	28.089	28.0006	i	NN19
184.8	179.2	2.6	Ma	Naude's Nek Section		-2.9	-29.7		1	Igneous:Extrusive	-30.7508	-30.7816	Basalt	8	Outcrop	28.089	28.0006	i	ND57
184.8	179.2	2.6	Ma	Naude's Nek Section	4.136358355702598	158.3096645953883	42.704349109467735	3647.6294862988607	2	Igneous:Extrusive	-30.7508	-30.7816	Basalt	DG1	Outcrop	28.089	28.0006	a	NN58:NN59
184.8	179.2	2.6	Ma	Naude's Nek Section	10.21631388699345	2.7255696875515922	-12.703496504814916	146.66343106040594	3	Igneous:Extrusive	-30.7508	-30.7816	Basalt	DG11	Outcrop	28.089	28.0006	a	ND51:ND52:ND53
184.8	179.2	2.6	Ma	Naude's Nek Section	12.361793123571836	58.12706849821635	-52.92025576195143	410.2521773322651	2	Igneous:Extrusive	-30.7508	-30.7816	Basalt	DG13	Outcrop	28.089	28.0006	a	NN46:NN47
184.8	179.2	2.6	Ma	Naude's Nek Section	7.997354197186582	356.1291891999555	17.91127074691057	238.67560960528448	3	Igneous:Extrusive	-30.7508	-30.7816	Basalt	DG15	Outcrop	28.089	28.0006	a	NN42:NN44:NN45
184.8	179.2	2.6	Ma	Naude's Nek Section	5.392847523440098	4.5005719035071206	5.200070890246754	2146.764436741753	2	Igneous:Extrusive	-30.7508	-30.7816	Basalt	DG16	Outcrop	28.089	28.0006	a	NN38:NN40
