tab 	sites
age	age_sigma	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_total_samples	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	3.3	-33.4	-42.1	275.3	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.761	Basalt	DG29	28.089	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN02	4.053136258844803	2.48907780799431	59.80781094512611	302.1173819742563
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	6.2	-30.6	-38.0	99.3	7	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7612	Basalt	DG29	28.0882	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN03	7.328581082588296	4.331298442263794	61.05004042872613	309.69499914408823
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.4	-27.1	-45.3	161.7	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7612	Basalt	DG29	28.0873	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN04	5.583176063979641	3.5422562456130913	65.9816392606954	300.743371998058
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	3.4	-21.3	-55.6	261.7	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7603	Basalt	DG28	28.0862	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN05	4.860165102490208	3.473706591685832	71.4764929121908	275.51571978997003
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	6.3	-11.5	-60.8	67.3	9	9	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7601	Basalt	DG28	28.086	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN06	9.624151656854261	7.351134532867511	75.59919099913891	244.77235967707625
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	7.0	-12.6	-56.0	64.3	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7592	Basalt	DG28	28.085	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN07	10.056365582181831	7.223606337320801	78.03472500864518	265.78842603442376
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.5	-15.5	-57.7	423.7	9	9	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7589	Basalt	DG28	28.0843	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN08	3.669535952482633	2.6930988213125264	75.1820534119503	263.12577043421686
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.0	-9.3	-58.2	192.8	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7588	Basalt	DG28	28.0839	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN09	5.908852640054836	4.364317440235378	78.86378360466324	248.72480317177374
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	1.5	-18.8	-52.3	2120.0	6	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.759	Basalt	DG28	28.0831	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN10	2.0594877424425206	1.4138299204236626	73.90616983460625	285.52694853265314
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.0	-16.2	-59.3	790.5	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7597	Basalt	DG28	28.0831	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN11	2.996475603135427	2.2447165100464552	73.87146067621461	258.2768070986952
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.6	-17.9	-51.1	472.9	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7603	Basalt	DG28	28.083	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN12	3.519453260586364	2.3820290872023056	74.68374086275615	289.60950441990684
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.5	-15.1	-53.5	489.7	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7601	Basalt	DG28	28.0815	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN13	3.482446054318872	2.425486104248216	76.84824697344574	279.6407971018668
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	3.1	-40.0	-63.1	387.1	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7595	Basalt	DG27	28.079	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN14B	4.880087561569482	3.841170098158898	55.8781362524317	262.77862300784295
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.9	-30.0	-60.4	378.3	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7582	Basalt	DG27	28.0752	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN15	4.40719342106159	3.3488541121807853	63.70568227751147	265.99154253373223
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	1.7	-29.3	-63.7	931.0	9	9	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.76	Basalt	DG27	28.0761	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN16	2.6972778238958672	2.1397963703765956	62.942207351328996	257.21505791629664
