tab 	sites
age	age_sigma	age_unit	citations	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_total_samples	dir_tilt_correction	geologic_classes	geologic_types	groups	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
179.2	1.8	Ma	10.1029/2011GC003910	2.1	4.2	6.4	792.3	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG16	-30.758	Basalt	Naude's Nek	28.0591	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN38	2.109853866555643	1.0598769852904275	55.796423526107425	35.533393832206194
179.2	1.8	Ma	10.1029/2011GC003910	10.8	5.3	-11.6	28.4	8.0	8.0	0	Igneous:Extrusive	Lava Flow	<NA>	-30.758	Basalt	Naude's Nek	28.0586	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	NN39	10.967571835015454	5.568871849825196	64.6092255728785	40.432824304810175
179.2	1.8	Ma	10.1029/2011GC003910	2.7	4.8	4.0	423.1	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG16	-30.759	Basalt	Naude's Nek	28.0581	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN40	2.704940316487754	1.3549448362520136	56.921024007576186	36.8716879423228
179.2	1.8	Ma	10.1029/2011GC003910	6.2	-6.2	12.5	84.6	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG15	-30.76	Basalt	Naude's Nek	28.0577	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN42	6.311873967596937	3.2128833050667653	52.44263838591871	17.915098435536684
179.2	1.8	Ma	10.1029/2011GC003910	11.9	-5.5	-22.5	42.2	5.0	8.0	0	Igneous:Extrusive	Lava Flow	<NA>	-30.761	Basalt	Naude's Nek	28.0574	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	NN43	12.612805357444788	6.684153738856635	70.27150645163688	11.914509974127819
179.2	1.8	Ma	10.1029/2011GC003910	7.8	-3.8	19.8	53.2	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG15	-30.762	Basalt	Naude's Nek	28.0569	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN44	8.158966953856241	4.267227035520397	48.871186985547	22.3658669853021
179.2	1.8	Ma	10.1029/2011GC003910	4.1	-1.5	21.4	187.4	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG15	-30.763	Basalt	Naude's Nek	28.0568	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN45	4.321422488076118	2.2774015024939014	48.12567202868536	25.851250122444075
179.2	1.8	Ma	10.1029/2011GC003910	6.5	24.1	-49.3	64.7	9.0	9.0	0	Igneous:Extrusive	Lava Flow	14	-30.763	Basalt	Naude's Nek	28.0554	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NNPR	8.617596101443697	5.712535582124434	69.25911287149017	122.62073135903434
179.2	1.8	Ma	10.1029/2011GC003910	5.5	55.8	-55.4	100.6	8.0	8.0	0	Igneous:Extrusive	Lava Flow	DG13	-30.763	Basalt	Naude's Nek	28.0555	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN46	7.842472835160262	5.591307288202425	43.72874850489877	140.1236544152845
179.2	1.8	Ma	10.1029/2011GC003910	2.9	60.2	-50.4	424.3	7.0	8.0	0	Igneous:Extrusive	Lava Flow	DG13	-30.763	Basalt	Naude's Nek	28.0562	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN47	3.893645296422652	2.613874774888661	39.05376353871975	135.04732608417615
